eppo_code,NMDS1,NMDS2,NMDS3,year
soil,0.04520088174272901,-0.016283143326020207,0.06275959451580784,2018
horvw,-0.20246897774780395,-0.03731258032872988,-0.00830199396588327,2018
trfre,-0.32943092757887243,0.3512398008466666,0.031398519951046595,2018
lolpe,-0.31519809300976276,0.48931127245175754,-0.06135136843539484,2018
rapsr,0.7088646173828705,-0.020280600296038048,-0.04920108139273472,2018
senss,-0.31340796777481805,-0.05466748428809453,0.08317373317268316,2018
verss,-0.3249140824702635,-0.17294628990683772,0.16364876241524476,2018
capbp,-0.16370899596333727,0.32942084875663413,0.4484082784675186,2018
paprh,-0.26171712082837334,-0.11837841111657195,0.19073643907538768,2018
cirar,-0.31262619661290775,0.2438602123758775,0.010509813956522836,2018
gerss,-0.31106082138620966,0.1771056931047413,0.08523558137494609,2018
matin,-0.3411920009120012,0.3373144164889965,-0.286747778734167,2018
tarof,-0.3795526079950084,0.4714550622837972,-0.009160032977946283,2018
ephex,-0.273905870338353,0.8277137802595419,-0.17176630763977813,2018
lamss,NA,NA,NA,2018
soil,0.11653656396757783,-0.02244018091512072,-0.06228242692834986,2019
avesa,0.034343172912548355,-0.14961580597545113,0.05216845292705079,2019
trfre,-0.7200058570193203,0.1707074044764651,-0.10313696955429187,2019
lolpe,-0.6023093872088247,0.13240759656951046,0.008146550548167188,2019
rapsr,0.44564133217705304,0.3664746199370736,0.08956217462230405,2019
senss,NA,NA,NA,2019
verss,0.21718259622231442,-0.35291099698634465,-0.28668379216214634,2019
capbp,0.3582521477986653,0.06179870564512211,-0.34083740155730147,2019
paprh,0.23498872659096692,-0.28511761760410037,-0.3292433639275722,2019
cirar,-0.15428169336723474,-0.19663449297245505,-0.2569733259590137,2019
gerss,-0.07939366066701146,-0.12186737238631799,-0.15615559553430877,2019
matin,0.18186502095384652,-0.32943950724969306,-0.2430292552947503,2019
tarof,-0.007579223894188336,-0.28702571087980483,-0.19982301414773068,2019
ephex,NA,NA,NA,2019
lamss,-1.8343036548211842e-4,-0.19184448553768924,-0.20495864551610748,2019
